如何开启戴尔Mini 10的3G服务," 1）开机，点击桌面上的G3随e行软件，点击自动连接，然后点击“操作”（或“帮助”）菜单下的“自助服务”
   2）完成绑定用于每月付费的手机号码，选择每月3G数据流量套餐
   3）选择绑定-〉返回成功页面--〉提示客户输入绑定号码-〉客户输入绑定号码，点击获取短信动态密码-〉客户输入短信动态密码-〉业务平台返回套餐列表页面-〉客户选择套餐-〉业务平台返回绑定号码及所选套餐信息页面-〉客户确认绑定-〉绑定成功，并向绑定号码发送绑定成功短信。
"
运行G3随e行后，提示无SIM/USIM卡或SIM/USIM卡错误该怎么办？,关闭电脑，取下电池，检查USIM卡是否插好，或重插USIM卡。或使用交换测试的方法，使用手机SIM测试。
运行G3随e行后，提示找不到设备该怎么办？,检查设备管理器中，调制解调器项目下是否有标为NexperiaTM System Solution的其它设备。如果有，重新安装内置TD Modem驱动程序。
如何确定G3随e行的版本？,打开G3随e行，菜单中“帮助”-“关于G3随e行”，新窗口的第一行即为版本号
重新安装了系统，发现内置Modem驱动不见了，该怎么办？,请从http://114.dell800.com/driver/3gDriver.rar 下载驱动程序，进行安装Mini10 3G模块驱动及应用软件下载:http://www.dell800.com/thread-14238-1-1.html 
重新安装了系统，发现G3随e行不见了，该怎么办？,请从http://114.dell800.com/driver/eWalk3.2.1.16.rar下载该程序，进行安装
触摸板的多点触控功能无法使用？,触摸板的多点触控需要驱动的支持，要安装触摸板驱动，可以使用驱动光盘重新安装驱动或到网站下载触摸板驱动。Mini 10驱动程序下载http://www.dell800.com/thread-11576-1-1.html 
重新安装XP系统过程中按F8接受协议时无法通过,由于键盘上的F8及其他的F1-F12的功能键要配合Fn键配合使用，所以接受协议时要按Fn＋F8键。
什么是ICCID和IMEI？有什么作用？,SIM卡的背后有4组5位共20位的号码是ICCID，笔记本电脑的背面有一条白色纸条上面有写IMEI后面有15位的号码。DELL公司在为客户做退换机或换USIM或换3G模块时要记录。
开机时注册，EWALK显示注册到EDGE？,可能原因：电脑处于地方的TD网络信号弱或网络尚未升级，没有TD网络信号。解决办法：可以移动到有TD网络信号较好地方再试或咨询本地移动10086客服了解TD网络信号覆盖情况。
